TRACK_ID|NAME|ALBUM|ARTIST_NAME|COMPOSER|MILLISECONDS|GENRE|MEDIA_TYPE
1|For Those About To Rock (We Salute You)|For Those About To Rock We Salute You|AC/DC|Angus Young, Malcolm Young, Brian Johnson|343719|Rock|MPEG audio file
6|Put The Finger On You|For Those About To Rock We Salute You|AC/DC|Angus Young, Malcolm Young, Brian Johnson|205662|Rock|MPEG audio file
7|Let's Get It Up|For Those About To Rock We Salute You|AC/DC|Angus Young, Malcolm Young, Brian Johnson|233926|Rock|MPEG audio file
8|Inject The Venom|For Those About To Rock We Salute You|AC/DC|Angus Young, Malcolm Young, Brian Johnson|210834|Rock|MPEG audio file
9|Snowballed|For Those About To Rock We Salute You|AC/DC|Angus Young, Malcolm Young, Brian Johnson|203102|Rock|MPEG audio file
10|Evil Walks|For Those About To Rock We Salute You|AC/DC|Angus Young, Malcolm Young, Brian Johnson|263497|Rock|MPEG audio file
11|C.O.D.|For Those About To Rock We Salute You|AC/DC|Angus Young, Malcolm Young, Brian Johnson|199836|Rock|MPEG audio file
12|Breaking The Rules|For Those About To Rock We Salute You|AC/DC|Angus Young, Malcolm Young, Brian Johnson|263288|Rock|MPEG audio file
13|Night Of The Long Knives|For Those About To Rock We Salute You|AC/DC|Angus Young, Malcolm Young, Brian Johnson|205688|Rock|MPEG audio file
14|Spellbound|For Those About To Rock We Salute You|AC/DC|Angus Young, Malcolm Young, Brian Johnson|270863|Rock|MPEG audio file
2|Balls to the Wall|Balls to the Wall|Accept||342562|Rock|Protected AAC audio file
3|Fast As a Shark|Restless and Wild|Accept|F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman|230619|Rock|Protected AAC audio file
4|Restless and Wild|Restless and Wild|Accept|F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman|252051|Rock|Protected AAC audio file
5|Princess of the Dawn|Restless and Wild|Accept|Deaffy & R.A. Smith-Diesel|375418|Rock|Protected AAC audio file
15|Go Down|Let There Be Rock|AC/DC|AC/DC|331180|Rock|MPEG audio file
16|Dog Eat Dog|Let There Be Rock|AC/DC|AC/DC|215196|Rock|MPEG audio file
17|Let There Be Rock|Let There Be Rock|AC/DC|AC/DC|366654|Rock|MPEG audio file
18|Bad Boy Boogie|Let There Be Rock|AC/DC|AC/DC|267728|Rock|MPEG audio file
19|Problem Child|Let There Be Rock|AC/DC|AC/DC|325041|Rock|MPEG audio file
20|Overdose|Let There Be Rock|AC/DC|AC/DC|369319|Rock|MPEG audio file
21|Hell Ain't A Bad Place To Be|Let There Be Rock|AC/DC|AC/DC|254380|Rock|MPEG audio file
22|Whole Lotta Rosie|Let There Be Rock|AC/DC|AC/DC|323761|Rock|MPEG audio file
23|Walk On Water|Big Ones|Aerosmith|Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw|295680|Rock|MPEG audio file
24|Love In An Elevator|Big Ones|Aerosmith|Steven Tyler, Joe Perry|321828|Rock|MPEG audio file
25|Rag Doll|Big Ones|Aerosmith|Steven Tyler, Joe Perry, Jim Vallance, Holly Knight|264698|Rock|MPEG audio file
26|What It Takes|Big Ones|Aerosmith|Steven Tyler, Joe Perry, Desmond Child|310622|Rock|MPEG audio file
