descripcion;opcion_correcta;opciones
"sem elit; pharetra ut;";17;61-5-26-17-57
quis urna. Nunc quis arcu vel quam;35;59-40-43-35
at;7;50-56-52-17-7
Nullam nisl.;40;26-40-37
semper cursus. Integer mollis.;8;63-8-27-56-46
Integer id magna et ipsum cursus vestibulum. Mauris magna. Duis;5;59-35-5-62-60
fringilla est. Mauris eu turpis. Nulla aliquet. Proin velit. Sed;35;6-48-35-27
nisi dictum augue malesuada malesuada. Integer id;18;14-60-8-18
"convallis; ante lectus convallis est; vitae sodales nisi";66;50-3-66
"felis orci; adipiscing non;";3;4-25-15-3
"accumsan convallis; ante lectus";50;39-4-34-50-58
"lorem. Donec elementum; lorem ut";41;41-64-55
"ullamcorper. Duis cursus; diam at pretium";47;12-28-47-58-53
"laoreet ipsum. Curabitur consequat; lectus sit";36;47-1-27-36
Nulla facilisi. Sed;64;12-31-50-64
"eu; odio. Phasellus at augue id ante dictum cursus.";58;58-13-14-29
Cum sociis natoque penatibus et magnis dis parturient;27;36-27-64-45
Nullam feugiat placerat velit. Quisque varius. Nam porttitor scelerisque neque.;25;62-25-22-43
tristique pharetra. Quisque ac;46;4-46-1-15
interdum ligula eu enim.;60;53-49-60
"et risus. Quisque libero lacus;";55;55-6-7
"vestibulum nec; euismod in; dolor. Fusce feugiat. Lorem";8;47-8-52-27
neque pellentesque massa lobortis ultrices. Vivamus rhoncus. Donec est. Nunc;11;56-31-11
justo.;51;26-39-49-51
Fusce aliquet;9;38-9-23-36
"Nulla eget metus eu erat semper rutrum. Fusce dolor quam;";45;45-53-17
"fermentum risus; at fringilla purus mauris a nunc.";12;35-40-12
"tristique ac; eleifend vitae; erat. Vivamus nisi. Mauris nulla. Integer";36;10-25-38-36
magna a neque.;17;16-17-7-15
"orci; adipiscing non; luctus sit amet; faucibus ut; nulla.";33;12-33-64-62-50
arcu. Vestibulum;40;22-40-59
augue porttitor interdum. Sed auctor odio;23;40-28-23-35
"Aliquam auctor; velit eget laoreet posuere; enim nisl elementum";66;66-64-5-17
"felis eget varius ultrices; mauris ipsum porta elit; a";44;40-44-14-19-37
"neque tellus; imperdiet non; vestibulum nec; euismod in; dolor.";64;49-18-64-24
"odio. Etiam ligula tortor; dictum eu; placerat eget; venenatis a;";33;33-57-39
odio. Aliquam vulputate ullamcorper magna. Sed eu;6;48-5-58
"sodales nisi magna sed dui. Fusce aliquam; enim nec";2;2-1-31-65
scelerisque neque. Nullam;47;47-14-39
senectus et netus et malesuada fames ac turpis;5;61-42-24-22-5
sapien. Nunc pulvinar arcu et pede. Nunc sed orci;50;51-11-50
purus. Nullam scelerisque neque sed sem egestas;12;12-63-52-13-44
consectetuer adipiscing elit. Curabitur sed;66;49-66-23
nisi. Mauris nulla. Integer urna. Vivamus;50;16-18-37-27-50
arcu. Sed et libero. Proin mi.;20;32-20-66-25
"posuere at; velit. Cras lorem lorem; luctus ut;";2;27-51-2-4
arcu vel quam dignissim pharetra. Nam ac nulla. In;1;58-28-13-1
in consequat enim diam vel arcu. Curabitur ut odio;16;8-16-45-38
"augue id ante dictum cursus. Nunc mauris elit;";56;6-12-56-44-38
